step,train_size,new_train_ids,test_rmse
0,10,"[158, 292, 133, 118, 229, 0, 231, 228, 159, 5]",278.541803038945
1,20,"[130, 177, 152, 93, 3, 48, 219, 203, 44, 97]",255.40531468356778
2,30,"[21, 26, 72, 114, 143, 272, 14, 126, 270, 262]",262.18401073620646
3,40,"[55, 174, 66, 132, 202, 1, 297, 105, 35, 90]",242.6687593190618
4,50,"[181, 175, 267, 146, 74, 42, 208, 149, 215, 251]",251.71094322883135
5,60,"[299, 168, 85, 189, 13, 184, 77, 167, 296, 161]",245.84121503399703
6,70,"[206, 160, 277, 179, 294, 61, 293, 257, 109, 178]",253.66929037109495
7,80,"[220, 36, 153, 23, 282, 182, 187, 191, 71, 113]",239.6070447889156
8,90,"[239, 134, 82, 7, 52, 172, 78, 287, 73, 81]",242.41281346003322
9,100,"[288, 108, 295, 98, 185, 269, 249, 15, 39, 16]",238.35856562282
10,110,"[27, 112, 58, 290, 156, 238, 271, 100, 96, 83]",235.9151883494822
11,120,"[64, 95, 32, 183, 227, 173, 63, 79, 41, 10]",220.73329503488188
12,130,"[286, 207, 94, 87, 51, 119, 226, 163, 144, 57]",232.41474188462212
13,140,"[155, 199, 117, 260, 193, 19, 59, 47, 20, 17]",236.49238648888132
14,150,"[212, 53, 123, 136, 89, 217, 230, 300, 234, 121]",242.84775528468697
15,160,"[164, 28, 127, 30, 56, 140, 65, 54, 115, 88]",225.59516791579526
16,170,"[232, 68, 254, 194, 201, 46, 162, 45, 285, 283]",228.1497524799
17,180,"[25, 237, 170, 84, 22, 67, 221, 40, 2, 76]",229.16616576798498
18,190,"[244, 210, 213, 186, 209, 49, 165, 197, 102, 107]",223.49184894126128
19,200,"[139, 120, 135, 138, 223, 106, 131, 236, 278, 274]",226.00608484274275
20,301,"[4, 6, 8, 9, 11, 12, 18, 24, 29, 31, 33, 34, 37, 38, 43, 50, 60, 62, 69, 70, 75, 80, 86, 91, 92, 99, 101, 103, 104, 110, 111, 116, 122, 124, 125, 128, 129, 137, 141, 142, 145, 147, 148, 150, 151, 154, 157, 166, 169, 171, 176, 180, 188, 190, 192, 195, 196, 198, 200, 204, 205, 211, 214, 216, 218, 222, 224, 225, 233, 235, 240, 241, 242, 243, 245, 246, 247, 248, 250, 252, 253, 255, 256, 258, 259, 261, 263, 264, 265, 266, 268, 273, 275, 276, 279, 280, 281, 284, 289, 291, 298]",202.63918805936905
