step,train_size,new_train_ids,test_rmse
0,10,"[52, 179, 98, 249, 164, 198, 279, 82, 197, 48]",308.2282699719734
1,20,"[212, 205, 93, 106, 74, 108, 152, 32, 128, 266]",283.4441690594667
2,30,"[44, 23, 71, 34, 290, 213, 65, 154, 185, 17]",283.0440421680394
3,40,"[107, 202, 127, 273, 136, 83, 90, 284, 86, 75]",276.30785955116255
4,50,"[79, 148, 101, 231, 131, 188, 105, 96, 13, 5]",272.0084559355914
5,60,"[103, 219, 11, 147, 163, 94, 41, 288, 130, 109]",270.940461810692
6,70,"[162, 252, 143, 193, 171, 291, 78, 140, 165, 173]",259.75752082579817
7,80,"[4, 230, 137, 208, 247, 201, 115, 155, 268, 238]",254.67605454203056
8,90,"[73, 133, 224, 37, 35, 269, 119, 243, 294, 51]",270.9347792169003
9,100,"[227, 236, 195, 254, 239, 222, 61, 272, 295, 298]",229.9723393778364
10,110,"[54, 280, 47, 39, 43, 245, 258, 59, 169, 141]",234.95638767743304
11,120,"[55, 159, 22, 218, 166, 40, 178, 76, 160, 53]",234.23870506286158
12,130,"[104, 146, 63, 112, 240, 180, 50, 293, 6, 177]",219.3089357629182
13,140,"[3, 278, 116, 27, 111, 287, 45, 129, 16, 296]",230.70609416106402
14,150,"[15, 92, 19, 70, 10, 235, 297, 2, 99, 81]",233.2163481501837
15,160,"[158, 262, 260, 187, 29, 281, 253, 42, 241, 0]",225.005666786388
16,170,"[223, 56, 124, 186, 194, 33, 246, 28, 25, 88]",222.11411818077613
17,180,"[110, 211, 276, 277, 170, 1, 142, 233, 121, 244]",225.42903951446021
18,190,"[144, 132, 274, 282, 199, 85, 228, 7, 77, 265]",219.95433922127776
19,200,"[259, 204, 275, 102, 156, 114, 46, 69, 203, 21]",206.1330894529038
20,301,"[8, 9, 12, 14, 18, 20, 24, 26, 30, 31, 36, 38, 49, 57, 58, 60, 62, 64, 66, 67, 68, 72, 80, 84, 87, 89, 91, 95, 97, 100, 113, 117, 118, 120, 122, 123, 125, 126, 134, 135, 138, 139, 145, 149, 150, 151, 153, 157, 161, 167, 168, 172, 174, 175, 176, 181, 182, 183, 184, 189, 190, 191, 192, 196, 200, 206, 207, 209, 210, 214, 215, 216, 217, 220, 221, 225, 226, 229, 232, 234, 237, 242, 248, 250, 251, 255, 256, 257, 261, 263, 264, 267, 270, 271, 283, 285, 286, 289, 292, 299, 300]",202.5380907868847
