step,train_size,new_train_ids,test_rmse
0,10,"[167, 184, 23, 9, 121, 286, 18, 87, 10, 6]",287.56639463962205
1,20,"[283, 71, 276, 124, 174, 271, 170, 251, 104, 126]",285.5814664569233
2,30,"[287, 296, 135, 83, 52, 131, 216, 15, 285, 57]",258.58286679426044
3,40,"[205, 21, 137, 12, 48, 179, 54, 215, 8, 231]",254.7276602691411
4,50,"[220, 141, 103, 222, 116, 230, 272, 300, 282, 81]",258.0124292275149
5,60,"[258, 140, 5, 200, 290, 38, 252, 50, 291, 151]",262.7514705104219
6,70,"[219, 166, 292, 269, 162, 165, 95, 139, 22, 112]",259.6478414995561
7,80,"[34, 172, 284, 239, 79, 78, 98, 144, 26, 136]",267.68091321572274
8,90,"[68, 138, 51, 227, 92, 133, 157, 85, 64, 257]",256.7235518711953
9,100,"[39, 49, 279, 99, 129, 114, 226, 203, 89, 142]",246.61153510070963
10,110,"[146, 186, 191, 59, 175, 189, 86, 31, 7, 74]",241.37944540157199
11,120,"[198, 80, 207, 45, 277, 201, 233, 58, 109, 288]",232.63797092646354
12,130,"[212, 93, 280, 46, 118, 299, 145, 76, 84, 240]",231.54243102947348
13,140,"[221, 66, 190, 275, 35, 250, 281, 289, 208, 263]",229.80064571441727
14,150,"[256, 24, 65, 110, 202, 193, 224, 178, 41, 180]",225.9189905748201
15,160,"[122, 101, 67, 97, 117, 181, 2, 91, 72, 88]",237.44038014930933
16,170,"[260, 211, 4, 214, 249, 102, 25, 234, 27, 295]",244.49040969805642
17,180,"[238, 44, 37, 33, 182, 113, 143, 197, 53, 130]",235.15199952109054
18,190,"[105, 267, 206, 273, 75, 262, 246, 13, 196, 0]",237.6252328841023
19,200,"[159, 82, 297, 274, 29, 163, 199, 20, 161, 100]",217.1702573795022
20,301,"[1, 3, 11, 14, 16, 17, 19, 28, 30, 32, 36, 40, 42, 43, 47, 55, 56, 60, 61, 62, 63, 69, 70, 73, 77, 90, 94, 96, 106, 107, 108, 111, 115, 119, 120, 123, 125, 127, 128, 132, 134, 147, 148, 149, 150, 152, 153, 154, 155, 156, 158, 160, 164, 168, 169, 171, 173, 176, 177, 183, 185, 187, 188, 192, 194, 195, 204, 209, 210, 213, 217, 218, 223, 225, 228, 229, 232, 235, 236, 237, 241, 242, 243, 244, 245, 247, 248, 253, 254, 255, 259, 261, 264, 265, 266, 268, 270, 278, 293, 294, 298]",201.1444615836004
