step,train_size,new_train_ids,test_rmse
0,10,"[204, 220, 267, 288, 177, 189, 259, 197, 61, 160]",450.00251227460075
1,20,"[36, 296, 63, 290, 8, 129, 97, 203, 18, 103]",236.4944853328157
2,30,"[89, 270, 276, 20, 233, 248, 118, 105, 258, 5]",245.47612964081137
3,40,"[157, 205, 93, 66, 11, 284, 112, 98, 132, 69]",247.9211000650687
4,50,"[221, 139, 62, 142, 225, 211, 140, 253, 272, 161]",235.92154154735587
5,60,"[246, 104, 17, 219, 237, 130, 72, 21, 50, 26]",238.09792681576496
6,70,"[247, 291, 190, 82, 283, 133, 144, 56, 297, 106]",228.6018111178447
7,80,"[199, 70, 75, 15, 235, 202, 44, 252, 286, 293]",247.2772832231061
8,90,"[128, 77, 23, 84, 146, 87, 71, 175, 45, 25]",237.7358743852322
9,100,"[67, 32, 136, 185, 298, 193, 274, 38, 78, 59]",252.72262887250386
10,110,"[158, 100, 164, 262, 65, 228, 257, 109, 35, 195]",247.03299994786283
11,120,"[94, 124, 55, 230, 41, 58, 57, 43, 86, 6]",234.9415574343814
12,130,"[141, 188, 300, 165, 170, 80, 2, 115, 68, 110]",234.24667112624874
13,140,"[48, 200, 172, 137, 279, 135, 54, 102, 145, 79]",222.89584781985852
14,150,"[22, 217, 181, 227, 216, 28, 282, 39, 121, 96]",212.1920246734521
15,160,"[238, 123, 24, 214, 194, 46, 215, 178, 85, 0]",211.0298824942642
16,170,"[156, 174, 271, 101, 201, 209, 263, 183, 289, 88]",210.28452220188163
17,180,"[222, 149, 143, 180, 159, 187, 111, 1, 125, 138]",218.54306790206186
18,190,"[206, 191, 166, 261, 173, 275, 176, 95, 16, 226]",216.4957128944747
19,200,"[243, 120, 76, 33, 27, 92, 19, 231, 7, 81]",211.00337324218196
20,301,"[3, 4, 9, 10, 12, 13, 14, 29, 30, 31, 34, 37, 40, 42, 47, 49, 51, 52, 53, 60, 64, 73, 74, 83, 90, 91, 99, 107, 108, 113, 114, 116, 117, 119, 122, 126, 127, 131, 134, 147, 148, 150, 151, 152, 153, 154, 155, 162, 163, 167, 168, 169, 171, 179, 182, 184, 186, 192, 196, 198, 207, 208, 210, 212, 213, 218, 223, 224, 229, 232, 234, 236, 239, 240, 241, 242, 244, 245, 249, 250, 251, 254, 255, 256, 260, 264, 265, 266, 268, 269, 273, 277, 278, 280, 281, 285, 287, 292, 294, 295, 299]",202.7865622575233
