step,train_size,new_train_ids,test_rmse
0,10,"[137, 185, 188, 154, 280, 254, 216, 165, 293, 131]",227.32803517697545
1,20,"[109, 99, 29, 65, 134, 202, 89, 285, 27, 45]",243.00822660556344
2,30,"[15, 151, 133, 282, 14, 3, 196, 287, 119, 57]",239.07660170248425
3,40,"[296, 278, 139, 224, 273, 234, 72, 10, 104, 25]",240.40413807735962
4,50,"[170, 88, 272, 40, 18, 214, 201, 258, 257, 76]",248.98191686669426
5,60,"[145, 206, 284, 248, 227, 220, 32, 164, 130, 97]",241.50068419789727
6,70,"[118, 19, 120, 167, 205, 0, 126, 225, 252, 87]",237.19815986803803
7,80,"[30, 91, 78, 79, 112, 36, 41, 52, 9, 203]",234.16948220906696
8,90,"[70, 295, 191, 5, 230, 291, 26, 48, 77, 235]",237.1534411327108
9,100,"[221, 44, 292, 193, 169, 113, 163, 85, 12, 100]",249.9611556360451
10,110,"[262, 171, 23, 161, 153, 148, 21, 300, 61, 152]",247.2897488413547
11,120,"[267, 274, 263, 42, 195, 286, 276, 289, 22, 182]",246.45335867351193
12,130,"[80, 55, 106, 53, 62, 279, 105, 82, 212, 24]",244.58398462553419
13,140,"[232, 223, 98, 132, 228, 143, 215, 86, 129, 299]",243.74808836832173
14,150,"[127, 297, 189, 290, 200, 177, 110, 186, 4, 7]",240.1025696377733
15,160,"[259, 84, 136, 218, 114, 102, 95, 288, 68, 96]",251.16733784311728
16,170,"[20, 222, 237, 157, 117, 208, 159, 17, 108, 37]",242.3529556311956
17,180,"[275, 231, 122, 101, 210, 250, 34, 66, 269, 33]",230.61554197774555
18,190,"[270, 219, 142, 64, 217, 8, 253, 271, 67, 135]",233.7060388044988
19,200,"[229, 211, 226, 266, 121, 199, 150, 63, 144, 43]",230.2661630934471
20,301,"[1, 2, 6, 11, 13, 16, 28, 31, 35, 38, 39, 46, 47, 49, 50, 51, 54, 56, 58, 59, 60, 69, 71, 73, 74, 75, 81, 83, 90, 92, 93, 94, 103, 107, 111, 115, 116, 123, 124, 125, 128, 138, 140, 141, 146, 147, 149, 155, 156, 158, 160, 162, 166, 168, 172, 173, 174, 175, 176, 178, 179, 180, 181, 183, 184, 187, 190, 192, 194, 197, 198, 204, 207, 209, 213, 233, 236, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 249, 251, 255, 256, 260, 261, 264, 265, 268, 277, 281, 283, 294, 298]",205.75761091076876
