step,train_size,new_train_ids,test_rmse
0,10,"[158, 292, 133, 118, 229, 0, 231, 228, 159, 5]",278.541803038945
1,20,"[93, 192, 137, 203, 48, 97, 177, 44, 152, 219]",257.5041690846956
2,30,"[142, 125, 185, 191, 175, 262, 230, 25, 20, 13]",251.04876361624747
3,40,"[227, 119, 103, 54, 157, 204, 120, 88, 297, 128]",233.18433491893632
4,50,"[136, 145, 253, 69, 55, 208, 178, 79, 82, 281]",243.16523331631063
5,60,"[182, 246, 156, 81, 160, 167, 11, 236, 188, 296]",230.9745699812877
6,70,"[174, 277, 206, 245, 173, 24, 155, 132, 105, 207]",231.90480806386975
7,80,"[109, 220, 221, 211, 209, 285, 184, 150, 190, 180]",228.96625117755866
8,90,"[124, 72, 4, 240, 257, 162, 19, 117, 243, 168]",223.23873399025473
9,100,"[291, 42, 49, 36, 96, 258, 239, 131, 172, 298]",224.58391084139575
10,110,"[275, 86, 268, 99, 271, 52, 147, 244, 283, 264]",217.62335240651598
11,120,"[295, 146, 166, 41, 280, 78, 138, 163, 210, 247]",213.99967328230233
12,130,"[56, 141, 151, 194, 254, 140, 195, 121, 282, 218]",211.82087807730542
13,140,"[235, 233, 43, 249, 213, 255, 165, 181, 263, 126]",219.08911471810416
14,150,"[164, 198, 300, 77, 183, 197, 226, 287, 187, 179]",207.05207490300342
15,160,"[252, 35, 39, 272, 16, 115, 270, 123, 234, 225]",206.5517732230751
16,170,"[288, 199, 260, 290, 62, 30, 127, 148, 143, 242]",204.48239695751948
17,180,"[68, 34, 9, 27, 12, 74, 83, 202, 171, 241]",199.82084882278096
18,190,"[28, 153, 139, 212, 149, 144, 122, 37, 53, 215]",200.17702461745336
19,200,"[60, 196, 45, 278, 169, 273, 223, 251, 170, 75]",198.3192504995304
20,301,"[1, 2, 3, 6, 7, 8, 10, 14, 15, 17, 18, 21, 22, 23, 26, 29, 31, 32, 33, 38, 40, 46, 47, 50, 51, 57, 58, 59, 61, 63, 64, 65, 66, 67, 70, 71, 73, 76, 80, 84, 85, 87, 89, 90, 91, 92, 94, 95, 98, 100, 101, 102, 104, 106, 107, 108, 110, 111, 112, 113, 114, 116, 129, 130, 134, 135, 154, 161, 176, 186, 189, 193, 200, 201, 205, 214, 216, 217, 222, 224, 232, 237, 238, 248, 250, 256, 259, 261, 265, 266, 267, 269, 274, 276, 279, 284, 286, 289, 293, 294, 299]",202.63918805936905
