step,train_size,new_train_ids,test_rmse
0,10,"[204, 220, 267, 288, 177, 189, 259, 197, 61, 160]",450.00251227460075
1,20,"[63, 203, 100, 41, 146, 18, 183, 129, 103, 97]",259.7874865651627
2,30,"[278, 19, 272, 250, 208, 261, 105, 285, 212, 88]",249.47479172156403
3,40,"[95, 9, 91, 231, 118, 198, 156, 120, 210, 205]",242.3391843865722
4,50,"[157, 37, 36, 283, 227, 213, 255, 260, 247, 223]",239.30148297203485
5,60,"[127, 237, 175, 180, 8, 170, 245, 246, 219, 218]",242.96006923706943
6,70,"[145, 94, 154, 182, 211, 277, 248, 257, 297, 167]",225.64581301955846
7,80,"[234, 62, 275, 152, 14, 239, 89, 282, 253, 191]",227.53137832687247
8,90,"[130, 151, 116, 22, 131, 72, 163, 143, 20, 214]",226.2619570021086
9,100,"[184, 173, 53, 280, 262, 242, 241, 190, 57, 298]",216.6119914511244
10,110,"[55, 83, 54, 258, 15, 43, 138, 78, 281, 178]",213.7870798044583
11,120,"[158, 49, 233, 232, 38, 125, 70, 5, 0, 287]",217.08898278588546
12,130,"[35, 196, 142, 40, 300, 136, 87, 52, 169, 244]",225.93025741821265
13,140,"[141, 238, 279, 265, 276, 176, 44, 77, 79, 236]",219.39395857432754
14,150,"[290, 226, 221, 162, 117, 133, 148, 254, 192, 121]",221.9830071619735
15,160,"[86, 186, 96, 187, 209, 216, 32, 166, 137, 161]",219.21288597607958
16,170,"[230, 165, 111, 34, 140, 155, 270, 128, 172, 293]",206.3085090839817
17,180,"[110, 102, 249, 93, 27, 147, 81, 46, 92, 188]",214.77037759103345
18,190,"[202, 144, 12, 271, 24, 273, 124, 222, 243, 126]",231.76166998261775
19,200,"[193, 256, 217, 224, 33, 13, 181, 264, 215, 207]",254.39903709714022
20,301,"[1, 2, 3, 4, 6, 7, 10, 11, 16, 17, 21, 23, 25, 26, 28, 29, 30, 31, 39, 42, 45, 47, 48, 50, 51, 56, 58, 59, 60, 64, 65, 66, 67, 68, 69, 71, 73, 74, 75, 76, 80, 82, 84, 85, 90, 98, 99, 101, 104, 106, 107, 108, 109, 112, 113, 114, 115, 119, 122, 123, 132, 134, 135, 139, 149, 150, 153, 159, 164, 168, 171, 174, 179, 185, 194, 195, 199, 200, 201, 206, 225, 228, 229, 235, 240, 251, 252, 263, 266, 268, 269, 274, 284, 286, 289, 291, 292, 294, 295, 296, 299]",202.7865622575233
