step,train_size,new_train_ids,test_rmse
0,10,"[137, 185, 188, 154, 280, 254, 216, 165, 293, 131]",227.32803517697545
1,20,"[240, 33, 285, 48, 29, 65, 99, 45, 89, 27]",244.7456654584084
2,30,"[196, 287, 88, 75, 134, 151, 120, 282, 15, 14]",238.503126703604
3,40,"[106, 9, 278, 114, 233, 94, 138, 119, 24, 296]",230.34499642747096
4,50,"[76, 90, 139, 250, 40, 41, 300, 203, 121, 17]",250.85671411138944
5,60,"[276, 117, 150, 225, 283, 228, 157, 140, 222, 263]",243.34848326658462
6,70,"[87, 72, 67, 22, 53, 0, 164, 123, 20, 207]",263.73811481432534
7,80,"[43, 42, 118, 128, 55, 97, 145, 152, 83, 208]",252.9091203865671
8,90,"[70, 290, 236, 44, 292, 199, 163, 197, 141, 79]",243.50707257176822
9,100,"[291, 100, 210, 37, 136, 172, 183, 195, 218, 13]",233.24071170401285
10,110,"[267, 19, 16, 169, 261, 299, 147, 77, 238, 158]",231.39826738675131
11,120,"[274, 272, 284, 198, 57, 96, 170, 184, 182, 260]",224.94632309354947
12,130,"[18, 73, 181, 279, 103, 258, 78, 11, 180, 232]",231.31885810863457
13,140,"[142, 202, 227, 224, 126, 125, 275, 251, 244, 298]",234.9569570095541
14,150,"[52, 204, 54, 173, 187, 243, 247, 179, 248, 190]",224.37376859100874
15,160,"[21, 61, 129, 269, 86, 256, 215, 262, 166, 167]",207.56558884298173
16,170,"[135, 81, 30, 8, 146, 217, 32, 143, 205, 229]",208.97962276306018
17,180,"[23, 221, 252, 273, 212, 124, 281, 200, 209, 206]",202.74130907248156
18,190,"[105, 257, 249, 259, 122, 277, 214, 213, 255, 178]",208.2668782528704
19,200,"[211, 107, 155, 28, 171, 271, 242, 201, 253, 191]",207.88297578345808
20,301,"[1, 2, 3, 4, 5, 6, 7, 10, 12, 25, 26, 31, 34, 35, 36, 38, 39, 46, 47, 49, 50, 51, 56, 58, 59, 60, 62, 63, 64, 66, 68, 69, 71, 74, 80, 82, 84, 85, 91, 92, 93, 95, 98, 101, 102, 104, 108, 109, 110, 111, 112, 113, 115, 116, 127, 130, 132, 133, 144, 148, 149, 153, 156, 159, 160, 161, 162, 168, 174, 175, 176, 177, 186, 189, 192, 193, 194, 219, 220, 223, 226, 230, 231, 234, 235, 237, 239, 241, 245, 246, 264, 265, 266, 268, 270, 286, 288, 289, 294, 295, 297]",205.75761091076876
