step,train_size,new_train_ids,test_rmse
0,10,"[52, 179, 98, 249, 164, 198, 279, 82, 197, 48]",308.2282699719734
1,20,"[266, 106, 270, 212, 185, 246, 205, 166, 172, 128]",312.90257799737685
2,30,"[91, 41, 113, 12, 17, 62, 33, 291, 290, 210]",301.39485129171914
3,40,"[79, 195, 44, 72, 238, 34, 157, 124, 272, 268]",281.3492707823805
4,50,"[93, 61, 165, 78, 125, 126, 14, 170, 244, 75]",274.8142414199418
5,60,"[70, 92, 129, 100, 287, 202, 29, 215, 23, 190]",281.6029385770097
6,70,"[203, 147, 161, 188, 278, 187, 94, 216, 250, 201]",234.81398680412062
7,80,"[142, 265, 300, 239, 243, 226, 233, 222, 237, 191]",237.74205599120083
8,90,"[74, 31, 122, 214, 189, 171, 167, 264, 32, 293]",243.26264764383606
9,100,"[220, 213, 251, 261, 254, 168, 229, 180, 207, 297]",252.78412706906744
10,110,"[46, 42, 240, 256, 57, 22, 158, 262, 127, 248]",243.56907970106266
11,120,"[281, 134, 39, 86, 9, 277, 15, 20, 208, 298]",236.84880844922432
12,130,"[132, 182, 163, 227, 288, 96, 283, 152, 271, 242]",230.47921556521476
13,140,"[101, 3, 230, 184, 221, 275, 13, 99, 175, 236]",235.11208703538256
14,150,"[295, 135, 77, 159, 149, 83, 174, 123, 137, 218]",247.79041227338809
15,160,"[196, 24, 160, 253, 138, 209, 223, 143, 247, 282]",239.55931726932556
16,170,"[88, 141, 194, 36, 37, 224, 35, 150, 245, 258]",234.97309491714466
17,180,"[173, 276, 117, 103, 169, 273, 181, 280, 225, 206]",220.9700999719846
18,190,"[285, 136, 55, 54, 183, 0, 120, 259, 263, 219]",217.91540642902072
19,200,"[81, 145, 162, 8, 105, 267, 146, 131, 241, 234]",237.28376175878998
20,301,"[1, 2, 4, 5, 6, 7, 10, 11, 16, 18, 19, 21, 25, 26, 27, 28, 30, 38, 40, 43, 45, 47, 49, 50, 51, 53, 56, 58, 59, 60, 63, 64, 65, 66, 67, 68, 69, 71, 73, 76, 80, 84, 85, 87, 89, 90, 95, 97, 102, 104, 107, 108, 109, 110, 111, 112, 114, 115, 116, 118, 119, 121, 130, 133, 139, 140, 144, 148, 151, 153, 154, 155, 156, 176, 177, 178, 186, 192, 193, 199, 200, 204, 211, 217, 228, 231, 232, 235, 252, 255, 257, 260, 269, 274, 284, 286, 289, 292, 294, 296, 299]",202.5380907868847
