step,train_size,new_train_ids,test_rmse
0,10,"[126, 146, 133, 62, 94, 83, 84, 123, 52, 105]",261.1712110231755
1,20,"[261, 243, 20, 1, 212, 278, 216, 37, 61, 114]",263.877923172439
2,30,"[120, 166, 59, 270, 124, 38, 170, 180, 209, 57]",261.1804820088823
3,40,"[108, 2, 182, 41, 173, 246, 245, 223, 285, 248]",269.2552968668815
4,50,"[194, 132, 43, 184, 260, 264, 255, 237, 96, 143]",267.29237605889745
5,60,"[208, 250, 204, 46, 218, 181, 107, 210, 206, 201]",256.7001500291113
6,70,"[196, 183, 268, 141, 129, 142, 0, 263, 48, 205]",251.385445535785
7,80,"[66, 32, 164, 119, 202, 99, 145, 130, 167, 207]",250.84202238677972
8,90,"[163, 77, 222, 221, 92, 17, 137, 283, 227, 251]",243.50047326890302
9,100,"[229, 224, 22, 28, 192, 298, 282, 233, 195, 190]",229.7507858750945
10,110,"[98, 150, 199, 159, 273, 213, 16, 127, 168, 297]",218.71897445889365
11,120,"[111, 289, 14, 151, 249, 79, 35, 239, 179, 293]",208.63816980559042
12,130,"[149, 102, 136, 27, 158, 80, 188, 191, 203, 296]",210.05116242396363
13,140,"[157, 139, 275, 26, 228, 8, 9, 240, 171, 121]",212.76051289078217
14,150,"[176, 185, 44, 276, 3, 33, 169, 259, 11, 197]",211.37130267258976
15,160,"[53, 230, 122, 21, 31, 154, 29, 200, 236, 189]",207.92004034114422
16,170,"[91, 165, 118, 140, 238, 258, 252, 125, 254, 178]",215.43466794531648
17,180,"[156, 49, 12, 76, 272, 193, 15, 234, 34, 36]",198.24902479093325
18,190,"[186, 155, 290, 160, 257, 131, 262, 226, 281, 219]",209.02103004253618
19,200,"[40, 177, 217, 30, 103, 24, 13, 225, 128, 161]",217.2378625940026
20,301,"[4, 5, 6, 7, 10, 18, 19, 23, 25, 39, 42, 45, 47, 50, 51, 54, 55, 56, 58, 60, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 78, 81, 82, 85, 86, 87, 88, 89, 90, 93, 95, 97, 100, 101, 104, 106, 109, 110, 112, 113, 115, 116, 117, 134, 135, 138, 144, 147, 148, 152, 153, 162, 172, 174, 175, 187, 198, 211, 214, 215, 220, 231, 232, 235, 241, 242, 244, 247, 253, 256, 265, 266, 267, 269, 271, 274, 277, 279, 280, 284, 286, 287, 288, 291, 292, 294, 295, 299, 300]",200.95284396036362
