step,train_size,new_train_ids,test_rmse
0,10,"[256, 59, 192, 91, 106, 76, 174, 65, 75, 130]",296.1384254397197
1,20,"[5, 149, 131, 11, 239, 83, 287, 196, 136, 148]",295.8735309535257
2,30,"[240, 182, 152, 7, 128, 218, 4, 293, 103, 24]",248.09107076005108
3,40,"[173, 294, 137, 27, 79, 32, 86, 54, 250, 298]",252.24371600119466
4,50,"[197, 139, 99, 247, 147, 160, 132, 143, 97, 232]",254.0556315719043
5,60,"[156, 21, 93, 96, 188, 163, 178, 200, 236, 238]",256.20413474277746
6,70,"[70, 26, 144, 140, 89, 184, 80, 78, 168, 263]",239.55374743805112
7,80,"[23, 209, 228, 183, 81, 282, 134, 244, 191, 207]",238.56589776333647
8,90,"[224, 122, 199, 14, 17, 22, 212, 172, 271, 237]",236.94402649680524
9,100,"[227, 283, 0, 35, 295, 155, 166, 242, 170, 241]",222.85971586998622
10,110,"[288, 117, 150, 257, 222, 121, 190, 201, 277, 229]",231.28783229871465
11,120,"[13, 55, 204, 179, 187, 158, 77, 280, 270, 161]",221.50693870260045
12,130,"[30, 28, 61, 146, 157, 169, 259, 251, 219, 297]",246.34661229655833
13,140,"[52, 133, 215, 36, 16, 57, 210, 225, 233, 296]",215.36735914534486
14,150,"[33, 48, 41, 217, 211, 268, 267, 276, 203, 180]",231.41269935775864
15,160,"[186, 279, 221, 37, 258, 214, 246, 154, 53, 260]",226.52381645175925
16,170,"[3, 230, 245, 94, 261, 189, 253, 167, 226, 206]",221.31276799881635
17,180,"[252, 177, 34, 102, 159, 123, 142, 234, 220, 125]",212.23861005792384
18,190,"[74, 198, 8, 145, 118, 290, 249, 272, 181, 124]",233.1070818621027
19,200,"[116, 153, 299, 231, 284, 202, 107, 138, 175, 171]",233.04374996908808
20,301,"[1, 2, 6, 9, 10, 12, 15, 18, 19, 20, 25, 29, 31, 38, 39, 40, 42, 43, 44, 45, 46, 47, 49, 50, 51, 56, 58, 60, 62, 63, 64, 66, 67, 68, 69, 71, 72, 73, 82, 84, 85, 87, 88, 90, 92, 95, 98, 100, 101, 104, 105, 108, 109, 110, 111, 112, 113, 114, 115, 119, 120, 126, 127, 129, 135, 141, 151, 162, 164, 165, 176, 185, 193, 194, 195, 205, 208, 213, 216, 223, 235, 243, 248, 254, 255, 262, 264, 265, 266, 269, 273, 274, 275, 278, 281, 285, 286, 289, 291, 292, 300]",201.7011513122464
