step,train_size,new_train_ids,test_rmse
0,10,"[107, 279, 140, 89, 86, 271, 88, 214, 211, 78]",274.1234011726479
1,20,"[293, 235, 21, 280, 158, 56, 54, 200, 244, 206]",237.42858272196176
2,30,"[125, 162, 154, 59, 201, 223, 196, 50, 178, 177]",242.62334132006308
3,40,"[204, 132, 248, 289, 62, 7, 144, 9, 39, 127]",237.62627896934808
4,50,"[90, 19, 135, 108, 30, 225, 145, 172, 79, 161]",240.64549419713026
5,60,"[20, 236, 169, 92, 193, 43, 150, 96, 103, 118]",238.6898769849418
6,70,"[209, 228, 295, 234, 94, 281, 136, 123, 121, 126]",223.11371141200343
7,80,"[275, 143, 26, 0, 233, 77, 250, 241, 264, 218]",224.13586629636006
8,90,"[272, 252, 24, 205, 257, 155, 12, 262, 167, 128]",217.46169960139494
9,100,"[149, 129, 147, 268, 32, 203, 179, 247, 243, 75]",223.77589598380536
10,110,"[299, 117, 220, 57, 227, 197, 192, 276, 246, 120]",235.13214352488114
11,120,"[27, 41, 74, 184, 146, 61, 277, 163, 283, 239]",238.31554739896075
12,130,"[138, 284, 199, 226, 133, 254, 210, 53, 298, 296]",233.37700832687514
13,140,"[72, 151, 35, 55, 124, 242, 261, 137, 251, 263]",234.67277067165236
14,150,"[34, 238, 46, 288, 33, 31, 181, 215, 208, 190]",229.45688680107278
15,160,"[134, 105, 176, 164, 174, 217, 122, 183, 258, 171]",221.7630545802202
16,170,"[141, 11, 29, 198, 159, 156, 185, 224, 195, 219]",256.20404882367114
17,180,"[76, 81, 8, 40, 100, 14, 13, 222, 207, 297]",230.99528674787032
18,190,"[165, 269, 182, 278, 175, 255, 189, 237, 188, 180]",223.31268214775477
19,200,"[45, 83, 22, 287, 213, 131, 270, 232, 187, 170]",223.93145238041706
20,301,"[1, 2, 3, 4, 5, 6, 10, 15, 16, 17, 18, 23, 25, 28, 36, 37, 38, 42, 44, 47, 48, 49, 51, 52, 58, 60, 63, 64, 65, 66, 67, 68, 69, 70, 71, 73, 80, 82, 84, 85, 87, 91, 93, 95, 97, 98, 99, 101, 102, 104, 106, 109, 110, 111, 112, 113, 114, 115, 116, 119, 130, 139, 142, 148, 152, 153, 157, 160, 166, 168, 173, 186, 191, 194, 202, 212, 216, 221, 229, 230, 231, 240, 245, 249, 253, 256, 259, 260, 265, 266, 267, 273, 274, 282, 285, 286, 290, 291, 292, 294, 300]",201.3353428175281
