step,train_size,new_train_ids,test_rmse
0,10,"[144, 152, 265, 193, 74, 194, 98, 20, 41, 101]",311.7719620000963
1,20,"[219, 110, 236, 205, 167, 225, 234, 121, 148, 157]",286.2949418747794
2,30,"[179, 276, 297, 263, 198, 188, 137, 133, 185, 163]",230.98563803521517
3,40,"[242, 166, 81, 145, 227, 123, 223, 165, 216, 293]",234.52560155478199
4,50,"[149, 251, 200, 197, 214, 226, 16, 89, 208, 244]",240.04602640461226
5,60,"[300, 228, 103, 182, 48, 271, 52, 264, 170, 247]",236.71269496323026
6,70,"[62, 230, 6, 136, 88, 97, 237, 220, 94, 192]",238.4493626389536
7,80,"[246, 202, 258, 35, 125, 260, 79, 215, 53, 207]",238.2305666779418
8,90,"[44, 252, 284, 290, 39, 257, 150, 239, 126, 161]",256.49098164473685
9,100,"[55, 233, 142, 272, 268, 131, 128, 203, 298, 296]",255.5460543451895
10,110,"[175, 222, 69, 213, 187, 273, 36, 204, 172, 75]",254.0345332339138
11,120,"[154, 96, 0, 100, 169, 295, 78, 189, 201, 212]",271.5010212966252
12,130,"[129, 8, 155, 267, 160, 138, 262, 281, 218, 250]",245.97299125481544
13,140,"[139, 33, 156, 153, 211, 164, 21, 209, 206, 191]",224.73958316179804
14,150,"[118, 86, 162, 174, 107, 238, 54, 287, 122, 241]",215.16297037902342
15,160,"[45, 46, 61, 224, 278, 253, 248, 171, 282, 270]",212.285930509762
16,170,"[184, 56, 11, 30, 26, 146, 261, 120, 283, 180]",220.5829408641182
17,180,"[12, 221, 37, 196, 130, 173, 24, 277, 285, 83]",214.6740648930839
18,190,"[25, 279, 95, 119, 43, 31, 195, 210, 254, 280]",214.68286674532607
19,200,"[76, 28, 291, 40, 245, 140, 176, 255, 127, 178]",206.41913311174446
20,301,"[1, 2, 3, 4, 5, 7, 9, 10, 13, 14, 15, 17, 18, 19, 22, 23, 27, 29, 32, 34, 38, 42, 47, 49, 50, 51, 57, 58, 59, 60, 63, 64, 65, 66, 67, 68, 70, 71, 72, 73, 77, 80, 82, 84, 85, 87, 90, 91, 92, 93, 99, 102, 104, 105, 106, 108, 109, 111, 112, 113, 114, 115, 116, 117, 124, 132, 134, 135, 141, 143, 147, 151, 158, 159, 168, 177, 181, 183, 186, 190, 199, 217, 229, 231, 232, 235, 240, 243, 249, 256, 259, 266, 269, 274, 275, 286, 288, 289, 292, 294, 299]",202.03697461469358
