step,train_size,new_train_ids,test_rmse
0,10,"[167, 184, 23, 9, 121, 286, 18, 87, 10, 6]",287.56639463962205
1,20,"[57, 104, 124, 271, 250, 251, 170, 126, 276, 174]",289.98541864683654
2,30,"[78, 185, 296, 158, 131, 287, 123, 281, 202, 135]",263.9062336925385
3,40,"[155, 134, 30, 52, 206, 127, 178, 180, 215, 190]",267.2467386650457
4,50,"[27, 97, 140, 284, 230, 221, 261, 137, 143, 223]",263.22043548380253
5,60,"[254, 5, 70, 36, 125, 195, 133, 148, 225, 172]",267.99020273636705
6,70,"[136, 162, 89, 166, 293, 165, 226, 171, 188, 243]",234.9861759506197
7,80,"[31, 72, 22, 0, 16, 169, 138, 244, 247, 128]",237.0384639324403
8,90,"[295, 129, 233, 153, 48, 146, 53, 79, 120, 282]",234.08357123278054
9,100,"[114, 193, 196, 81, 119, 280, 229, 103, 262, 208]",229.19122831860577
10,110,"[213, 182, 267, 75, 118, 187, 258, 227, 163, 191]",227.09755879632283
11,120,"[151, 157, 199, 177, 232, 55, 197, 283, 264, 204]",224.49628867524595
12,130,"[288, 300, 144, 211, 173, 122, 94, 179, 200, 239]",221.53999143581333
13,140,"[285, 56, 96, 240, 290, 117, 275, 205, 175, 218]",212.9919175349403
14,150,"[35, 154, 222, 26, 201, 248, 183, 210, 263, 207]",212.63748445676697
15,160,"[49, 150, 69, 224, 259, 141, 273, 176, 54, 238]",218.32281754673207
16,170,"[156, 265, 269, 34, 145, 83, 220, 192, 241, 297]",210.05838743316787
17,180,"[105, 130, 33, 102, 108, 291, 234, 260, 270, 161]",208.64650835763788
18,190,"[245, 246, 198, 278, 256, 149, 272, 181, 237, 219]",212.78627769672664
19,200,"[92, 25, 12, 252, 32, 11, 93, 257, 132, 298]",210.1465392450949
20,301,"[1, 2, 3, 4, 7, 8, 13, 14, 15, 17, 19, 20, 21, 24, 28, 29, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 71, 73, 74, 76, 77, 80, 82, 84, 85, 86, 88, 90, 91, 95, 98, 99, 100, 101, 106, 107, 109, 110, 111, 112, 113, 115, 116, 139, 142, 147, 152, 159, 160, 164, 168, 186, 189, 194, 203, 209, 212, 214, 216, 217, 228, 231, 235, 236, 242, 249, 253, 255, 266, 268, 274, 277, 279, 289, 292, 294, 299]",201.1444615836004
