step,train_size,new_train_ids,test_rmse
0,10,"[260, 143, 118, 214, 166, 107, 94, 90, 5, 245]",286.5709925681341
1,20,"[113, 241, 144, 193, 50, 47, 55, 17, 239, 0]",295.7284448342838
2,30,"[124, 87, 78, 160, 68, 98, 13, 206, 46, 159]",292.81800161923945
3,40,"[251, 232, 240, 128, 215, 18, 158, 123, 162, 217]",269.39382149773456
4,50,"[198, 49, 117, 248, 147, 41, 31, 230, 40, 132]",273.4960914295261
5,60,"[194, 236, 265, 186, 178, 111, 235, 20, 299, 85]",275.96490389962463
6,70,"[102, 285, 122, 21, 52, 156, 26, 182, 263, 25]",290.5270097999953
7,80,"[223, 110, 170, 116, 229, 211, 224, 203, 64, 58]",273.39267407308716
8,90,"[8, 42, 150, 289, 189, 171, 30, 71, 188, 81]",269.46226433310034
9,100,"[79, 300, 100, 131, 264, 185, 157, 146, 213, 163]",263.3397256905084
10,110,"[1, 109, 145, 296, 89, 101, 23, 249, 32, 278]",245.06051461864655
11,120,"[261, 33, 297, 281, 200, 125, 187, 282, 59, 138]",227.59963567259365
12,130,"[262, 142, 106, 208, 181, 191, 121, 103, 238, 255]",226.8053228288854
13,140,"[104, 120, 77, 29, 152, 75, 268, 27, 76, 164]",223.7557045534086
14,150,"[54, 231, 271, 10, 119, 37, 2, 65, 252, 35]",222.18941427217658
15,160,"[257, 184, 53, 259, 295, 91, 190, 70, 291, 140]",218.36218701989057
16,170,"[45, 168, 9, 283, 95, 19, 179, 149, 244, 137]",224.90526014889667
17,180,"[286, 183, 83, 36, 74, 256, 148, 272, 93, 15]",222.60129806364492
18,190,"[57, 63, 135, 210, 226, 177, 233, 279, 114, 274]",228.77570309141078
19,200,"[151, 12, 154, 48, 219, 43, 290, 269, 216, 175]",220.2509910784081
20,301,"[3, 4, 6, 7, 11, 14, 16, 22, 24, 28, 34, 38, 39, 44, 51, 56, 60, 61, 62, 66, 67, 69, 72, 73, 80, 82, 84, 86, 88, 92, 96, 97, 99, 105, 108, 112, 115, 126, 127, 129, 130, 133, 134, 136, 139, 141, 153, 155, 161, 165, 167, 169, 172, 173, 174, 176, 180, 192, 195, 196, 197, 199, 201, 202, 204, 205, 207, 209, 212, 218, 220, 221, 222, 225, 227, 228, 234, 237, 242, 243, 246, 247, 250, 253, 254, 258, 266, 267, 270, 273, 275, 276, 277, 280, 284, 287, 288, 292, 293, 294, 298]",202.15917123338582
