step,train_size,new_train_ids,test_rmse
0,10,"[126, 146, 133, 62, 94, 83, 84, 123, 52, 105]",261.1712110231755
1,20,"[243, 114, 300, 61, 278, 216, 262, 214, 56, 55]",264.5326589974588
2,30,"[170, 77, 148, 245, 57, 179, 68, 3, 242, 54]",269.38813762910644
3,40,"[285, 2, 202, 43, 291, 265, 67, 50, 201, 249]",270.5559521000322
4,50,"[136, 76, 72, 99, 259, 69, 183, 14, 206, 75]",272.54974097400583
5,60,"[124, 20, 194, 274, 227, 223, 6, 58, 289, 292]",275.10615196261654
6,70,"[103, 33, 284, 280, 175, 96, 188, 122, 32, 229]",275.254199712734
7,80,"[91, 254, 23, 13, 11, 30, 167, 282, 8, 37]",276.4067043938845
8,90,"[125, 35, 293, 172, 127, 22, 192, 166, 217, 200]",255.1545520887667
9,100,"[272, 111, 238, 176, 12, 198, 118, 171, 267, 104]",251.99486064471208
10,110,"[196, 109, 161, 63, 28, 141, 45, 213, 44, 144]",231.4943709184932
11,120,"[5, 271, 173, 53, 7, 185, 48, 299, 98, 155]",237.07434307268758
12,130,"[162, 244, 273, 46, 65, 19, 234, 64, 255, 87]",230.10743717322856
13,140,"[237, 119, 266, 288, 261, 153, 79, 34, 157, 210]",225.23742916241522
14,150,"[248, 239, 182, 39, 100, 296, 112, 0, 264, 195]",226.7099369069918
15,160,"[295, 236, 221, 199, 27, 10, 89, 211, 256, 187]",221.00152682087432
16,170,"[279, 102, 113, 219, 184, 253, 147, 31, 294, 156]",219.35398311255503
17,180,"[36, 25, 116, 163, 159, 93, 268, 160, 101, 270]",214.86291410958256
18,190,"[186, 281, 298, 139, 70, 81, 42, 250, 203, 177]",218.1410691875243
19,200,"[120, 117, 180, 247, 130, 204, 49, 143, 297, 263]",207.41937526227974
20,301,"[1, 4, 9, 15, 16, 17, 18, 21, 24, 26, 29, 38, 40, 41, 47, 51, 59, 60, 66, 71, 73, 74, 78, 80, 82, 85, 86, 88, 90, 92, 95, 97, 106, 107, 108, 110, 115, 121, 128, 129, 131, 132, 134, 135, 137, 138, 140, 142, 145, 149, 150, 151, 152, 154, 158, 164, 165, 168, 169, 174, 178, 181, 189, 190, 191, 193, 197, 205, 207, 208, 209, 212, 215, 218, 220, 222, 224, 225, 226, 228, 230, 231, 232, 233, 235, 240, 241, 246, 251, 252, 257, 258, 260, 269, 275, 276, 277, 283, 286, 287, 290]",200.95284396036362
