step,train_size,new_train_ids,test_rmse
0,10,"[256, 59, 192, 91, 106, 76, 174, 65, 75, 130]",296.1384254397197
1,20,"[11, 239, 136, 270, 290, 3, 169, 89, 268, 287]",298.684657985281
2,30,"[175, 30, 24, 257, 191, 53, 100, 67, 135, 277]",298.08261011041964
3,40,"[234, 156, 184, 25, 274, 95, 265, 97, 94, 220]",300.10832156649906
4,50,"[105, 140, 36, 280, 230, 200, 137, 117, 63, 134]",293.47081128389357
5,60,"[60, 262, 292, 57, 237, 74, 279, 40, 185, 163]",297.43860005701885
6,70,"[81, 259, 123, 212, 39, 12, 198, 278, 68, 133]",290.28707667425306
7,80,"[224, 149, 208, 291, 131, 42, 205, 158, 73, 55]",284.3242309614346
8,90,"[245, 213, 193, 114, 56, 38, 217, 110, 166, 96]",288.1907095941701
9,100,"[243, 228, 9, 154, 211, 1, 104, 202, 150, 64]",291.3544606154383
10,110,"[141, 27, 111, 247, 168, 119, 275, 283, 222, 84]",294.6340940901114
11,120,"[62, 295, 179, 83, 109, 258, 196, 72, 281, 248]",277.54550630207166
12,130,"[144, 293, 227, 41, 102, 86, 178, 176, 167, 26]",240.5785663103351
13,140,"[143, 49, 80, 215, 52, 146, 142, 187, 241, 87]",234.01622187396725
14,150,"[221, 50, 85, 240, 6, 246, 93, 266, 77, 10]",232.6023826948625
15,160,"[112, 194, 125, 148, 66, 107, 152, 124, 138, 210]",235.4084707906799
16,170,"[264, 51, 78, 272, 261, 48, 159, 116, 204, 17]",216.93272209845028
17,180,"[300, 267, 170, 225, 90, 161, 188, 5, 160, 132]",202.30350536417734
18,190,"[19, 173, 164, 162, 0, 255, 54, 236, 145, 197]",200.7998558946389
19,200,"[82, 69, 189, 129, 206, 153, 214, 233, 108, 23]",213.7206969704645
20,301,"[2, 4, 7, 8, 13, 14, 15, 16, 18, 20, 21, 22, 28, 29, 31, 32, 33, 34, 35, 37, 43, 44, 45, 46, 47, 58, 61, 70, 71, 79, 88, 92, 98, 99, 101, 103, 113, 115, 118, 120, 121, 122, 126, 127, 128, 139, 147, 151, 155, 157, 165, 171, 172, 177, 180, 181, 182, 183, 186, 190, 195, 199, 201, 203, 207, 209, 216, 218, 219, 223, 226, 229, 231, 232, 235, 238, 242, 244, 249, 250, 251, 252, 253, 254, 260, 263, 269, 271, 273, 276, 282, 284, 285, 286, 288, 289, 294, 296, 297, 298, 299]",201.7011513122464
