step,train_size,new_train_ids,test_rmse
0,10,"[107, 279, 140, 89, 86, 271, 88, 214, 211, 78]",274.1234011726479
1,20,"[287, 244, 293, 239, 206, 21, 280, 235, 145, 75]",246.1687859120226
2,30,"[243, 269, 284, 249, 45, 60, 165, 7, 28, 41]",255.93342067901534
3,40,"[19, 251, 92, 119, 163, 168, 225, 126, 106, 195]",247.98931258328042
4,50,"[139, 220, 122, 137, 136, 118, 81, 46, 245, 26]",257.9278177130313
5,60,"[241, 212, 131, 299, 96, 115, 142, 149, 262, 200]",258.1584301301285
6,70,"[295, 170, 133, 98, 100, 25, 273, 268, 82, 16]",263.036525908357
7,80,"[179, 150, 95, 172, 27, 64, 231, 143, 79, 282]",250.0346962236648
8,90,"[1, 290, 101, 42, 83, 186, 153, 182, 256, 189]",248.0038075515283
9,100,"[34, 61, 5, 246, 94, 102, 104, 201, 223, 0]",254.74947395410416
10,110,"[229, 6, 194, 285, 171, 51, 117, 134, 288, 80]",248.77798376003565
11,120,"[128, 47, 156, 22, 105, 162, 257, 233, 250, 132]",244.7284377002235
12,130,"[69, 267, 8, 44, 204, 261, 15, 252, 13, 77]",241.17754845542936
13,140,"[222, 114, 174, 238, 125, 173, 91, 217, 266, 178]",237.75662019882452
14,150,"[158, 199, 90, 215, 29, 24, 281, 169, 196, 259]",225.2514984769111
15,160,"[152, 3, 50, 191, 291, 20, 190, 130, 110, 57]",227.99277861274368
16,170,"[2, 224, 242, 193, 253, 31, 11, 181, 14, 248]",234.07640675447152
17,180,"[216, 240, 294, 4, 10, 263, 38, 52, 151, 276]",233.74450135554977
18,190,"[32, 108, 55, 148, 236, 277, 135, 99, 185, 265]",233.71700501287552
19,200,"[138, 36, 210, 300, 67, 278, 298, 23, 30, 203]",218.00006835189512
20,301,"[9, 12, 17, 18, 33, 35, 37, 39, 40, 43, 48, 49, 53, 54, 56, 58, 59, 62, 63, 65, 66, 68, 70, 71, 72, 73, 74, 76, 84, 85, 87, 93, 97, 103, 109, 111, 112, 113, 116, 120, 121, 123, 124, 127, 129, 141, 144, 146, 147, 154, 155, 157, 159, 160, 161, 164, 166, 167, 175, 176, 177, 180, 183, 184, 187, 188, 192, 197, 198, 202, 205, 207, 208, 209, 213, 218, 219, 221, 226, 227, 228, 230, 232, 234, 237, 247, 254, 255, 258, 260, 264, 270, 272, 274, 275, 283, 286, 289, 292, 296, 297]",201.3353428175281
