step,train_size,new_train_ids,test_rmse
0,10,"[167, 184, 23, 9, 121, 286, 18, 87, 10, 6]",287.56639463962205
1,20,"[251, 174, 107, 283, 170, 199, 197, 0, 126, 124]",288.6141531773991
2,30,"[178, 135, 217, 82, 31, 204, 207, 190, 13, 233]",257.8275264250172
3,40,"[255, 137, 132, 172, 226, 194, 12, 120, 231, 230]",241.42981947470184
4,50,"[78, 299, 300, 114, 136, 28, 30, 106, 17, 247]",231.7251814843548
5,60,"[188, 52, 185, 94, 66, 41, 278, 285, 261, 282]",238.23805846477157
6,70,"[287, 294, 182, 115, 91, 270, 154, 276, 62, 54]",249.1420399679954
7,80,"[40, 65, 176, 50, 70, 180, 297, 118, 245, 281]",212.83790431785434
8,90,"[5, 48, 105, 161, 179, 90, 166, 279, 81, 80]",197.215339811446
9,100,"[20, 146, 169, 99, 127, 189, 150, 248, 119, 277]",203.41288172690616
10,110,"[157, 38, 234, 290, 284, 291, 45, 181, 148, 131]",200.6682075511246
11,120,"[156, 104, 198, 259, 268, 97, 205, 33, 26, 113]",198.2489091691354
12,130,"[266, 36, 77, 242, 236, 186, 292, 7, 69, 228]",204.40124495189235
13,140,"[209, 235, 110, 254, 76, 221, 24, 210, 237, 201]",211.14811587690846
14,150,"[202, 289, 232, 25, 258, 220, 206, 95, 212, 215]",202.51083872945014
15,160,"[53, 21, 253, 165, 267, 101, 84, 264, 134, 155]",225.8124255069196
16,170,"[15, 214, 2, 11, 122, 35, 243, 265, 71, 92]",211.70523242445412
17,180,"[14, 139, 227, 240, 64, 68, 211, 246, 75, 238]",208.92106617716672
18,190,"[191, 43, 143, 147, 218, 173, 293, 163, 57, 42]",205.95535390956923
19,200,"[138, 129, 296, 219, 60, 225, 67, 102, 192, 83]",204.02311234581038
20,301,"[1, 3, 4, 8, 16, 19, 22, 27, 29, 32, 34, 37, 39, 44, 46, 47, 49, 51, 55, 56, 58, 59, 61, 63, 72, 73, 74, 79, 85, 86, 88, 89, 93, 96, 98, 100, 103, 108, 109, 111, 112, 116, 117, 123, 125, 128, 130, 133, 140, 141, 142, 144, 145, 149, 151, 152, 153, 158, 159, 160, 162, 164, 168, 171, 175, 177, 183, 187, 193, 195, 196, 200, 203, 208, 213, 216, 222, 223, 224, 229, 239, 241, 244, 249, 250, 252, 256, 257, 260, 262, 263, 269, 271, 272, 273, 274, 275, 280, 288, 295, 298]",201.1444615836004
