step,train_size,new_train_ids,test_rmse
0,10,"[158, 292, 133, 118, 229, 0, 231, 228, 159, 5]",278.541803038945
1,20,"[155, 48, 263, 220, 137, 97, 197, 177, 152, 3]",266.59951116339147
2,30,"[120, 226, 33, 224, 127, 52, 117, 64, 201, 172]",283.24651090407184
3,40,"[82, 185, 138, 245, 35, 13, 156, 297, 244, 165]",277.00829407759426
4,50,"[190, 203, 113, 298, 112, 214, 206, 179, 276, 183]",246.73644017538572
5,60,"[101, 14, 63, 243, 288, 12, 299, 109, 132, 86]",241.0783614034538
6,70,"[32, 27, 60, 93, 199, 230, 252, 9, 145, 278]",231.430683483766
7,80,"[255, 248, 20, 17, 234, 261, 62, 115, 293, 184]",246.4148781770714
8,90,"[289, 236, 29, 275, 25, 108, 111, 140, 270, 53]",265.88311149272744
9,100,"[45, 242, 287, 39, 209, 87, 16, 213, 55, 290]",251.33008689789247
10,110,"[110, 173, 217, 272, 168, 92, 268, 235, 186, 182]",264.9886306951491
11,120,"[58, 181, 151, 69, 279, 50, 104, 42, 66, 83]",263.286096977299
12,130,"[222, 106, 107, 271, 134, 282, 114, 257, 102, 79]",229.92047142015318
13,140,"[77, 237, 121, 36, 49, 200, 205, 72, 246, 94]",248.35195398272666
14,150,"[8, 196, 147, 141, 122, 103, 265, 75, 57, 116]",233.8808106726463
15,160,"[2, 131, 31, 135, 273, 70, 34, 96, 254, 89]",228.94585772526204
16,170,"[44, 251, 136, 19, 240, 105, 170, 41, 250, 15]",232.04635152788893
17,180,"[85, 7, 1, 76, 176, 98, 161, 284, 274, 153]",223.15131522069314
18,190,"[277, 73, 171, 21, 219, 78, 149, 264, 202, 174]",223.56345096754723
19,200,"[195, 187, 258, 291, 233, 207, 225, 51, 267, 169]",222.66777583399175
20,301,"[4, 6, 10, 11, 18, 22, 23, 24, 26, 28, 30, 37, 38, 40, 43, 46, 47, 54, 56, 59, 61, 65, 67, 68, 71, 74, 80, 81, 84, 88, 90, 91, 95, 99, 100, 119, 123, 124, 125, 126, 128, 129, 130, 139, 142, 143, 144, 146, 148, 150, 154, 157, 160, 162, 163, 164, 166, 167, 175, 178, 180, 188, 189, 191, 192, 193, 194, 198, 204, 208, 210, 211, 212, 215, 216, 218, 221, 223, 227, 232, 238, 239, 241, 247, 249, 253, 256, 259, 260, 262, 266, 269, 280, 281, 283, 285, 286, 294, 295, 296, 300]",202.63918805936905
