step,train_size,new_train_ids,test_rmse
0,10,"[204, 220, 267, 288, 177, 189, 259, 197, 61, 160]",450.00251227460075
1,20,"[256, 181, 258, 36, 100, 296, 97, 203, 63, 18]",252.67838328369376
2,30,"[129, 284, 92, 210, 19, 196, 96, 155, 156, 230]",248.56247120949337
3,40,"[294, 9, 292, 104, 221, 184, 245, 237, 51, 24]",248.33625937228808
4,50,"[73, 44, 202, 278, 69, 169, 101, 289, 162, 251]",254.2420708558944
5,60,"[84, 58, 3, 282, 179, 238, 283, 34, 130, 125]",255.5519888367319
6,70,"[198, 234, 227, 223, 261, 85, 166, 236, 30, 0]",252.32958737965515
7,80,"[239, 81, 2, 54, 83, 271, 147, 72, 12, 11]",257.081320191374
8,90,"[118, 132, 195, 45, 50, 285, 27, 194, 174, 153]",258.03549175619867
9,100,"[126, 119, 1, 280, 7, 270, 117, 128, 40, 5]",258.8521224988868
10,110,"[226, 8, 295, 201, 88, 253, 254, 41, 14, 225]",253.18389117827462
11,120,"[106, 216, 149, 242, 229, 209, 55, 122, 150, 139]",252.75046989863608
12,130,"[136, 170, 167, 148, 23, 279, 255, 143, 98, 154]",254.92599184611012
13,140,"[49, 71, 35, 108, 152, 206, 4, 219, 158, 138]",252.31556520494098
14,150,"[102, 16, 107, 80, 217, 293, 62, 257, 75, 272]",242.3321792505455
15,160,"[15, 109, 121, 199, 13, 110, 103, 120, 142, 233]",236.69301478730952
16,170,"[144, 264, 173, 25, 287, 269, 172, 241, 182, 124]",232.73727520040697
17,180,"[93, 78, 134, 190, 64, 188, 176, 218, 212, 113]",223.02618183359135
18,190,"[38, 252, 135, 115, 161, 168, 67, 246, 68, 141]",220.22664246514086
19,200,"[28, 159, 291, 214, 183, 215, 213, 240, 268, 52]",218.32084415633773
20,301,"[6, 10, 17, 20, 21, 22, 26, 29, 31, 32, 33, 37, 39, 42, 43, 46, 47, 48, 53, 56, 57, 59, 60, 65, 66, 70, 74, 76, 77, 79, 82, 86, 87, 89, 90, 91, 94, 95, 99, 105, 111, 112, 114, 116, 123, 127, 131, 133, 137, 140, 145, 146, 151, 157, 163, 164, 165, 171, 175, 178, 180, 185, 186, 187, 191, 192, 193, 200, 205, 207, 208, 211, 222, 224, 228, 231, 232, 235, 243, 244, 247, 248, 249, 250, 260, 262, 263, 265, 266, 273, 274, 275, 276, 277, 281, 286, 290, 297, 298, 299, 300]",202.7865622575233
