step,train_size,new_train_ids,test_rmse
0,10,"[52, 179, 98, 249, 164, 198, 279, 82, 197, 48]",308.2282699719734
1,20,"[266, 166, 32, 128, 93, 212, 151, 205, 274, 246]",292.74353631166946
2,30,"[131, 70, 49, 79, 102, 272, 221, 238, 156, 43]",287.4835998818092
3,40,"[122, 68, 27, 18, 284, 139, 11, 96, 41, 100]",302.0605097357292
4,50,"[217, 148, 263, 111, 145, 101, 189, 25, 4, 242]",289.91506575002734
5,60,"[252, 65, 73, 291, 140, 269, 260, 141, 240, 231]",288.23735336305486
6,70,"[276, 132, 20, 92, 161, 262, 13, 45, 153, 55]",266.63039241412804
7,80,"[50, 298, 227, 9, 300, 203, 236, 105, 74, 295]",234.8490067683543
8,90,"[162, 185, 216, 144, 1, 275, 296, 165, 110, 226]",235.3471167194825
9,100,"[42, 108, 258, 183, 225, 288, 267, 194, 193, 159]",230.97896132636413
10,110,"[135, 278, 17, 152, 253, 243, 199, 121, 220, 38]",234.85827510698556
11,120,"[143, 160, 163, 210, 285, 218, 5, 154, 223, 127]",217.0978252859709
12,130,"[62, 187, 133, 294, 44, 196, 66, 254, 90, 124]",215.06317665328993
13,140,"[167, 95, 137, 211, 188, 176, 26, 58, 24, 23]",217.86404458326476
14,150,"[71, 207, 219, 181, 7, 120, 39, 222, 158, 88]",221.4157248731147
15,160,"[146, 75, 149, 174, 97, 256, 175, 46, 2, 109]",223.9326640938011
16,170,"[36, 77, 290, 59, 78, 283, 33, 239, 64, 228]",216.8315254577251
17,180,"[264, 115, 297, 53, 200, 119, 87, 259, 233, 129]",209.75943073851124
18,190,"[255, 173, 250, 230, 54, 22, 270, 268, 40, 117]",214.6065379842195
19,200,"[190, 106, 126, 157, 289, 69, 287, 271, 85, 209]",224.18430208373613
20,301,"[0, 3, 6, 8, 10, 12, 14, 15, 16, 19, 21, 28, 29, 30, 31, 34, 35, 37, 47, 51, 56, 57, 60, 61, 63, 67, 72, 76, 80, 81, 83, 84, 86, 89, 91, 94, 99, 103, 104, 107, 112, 113, 114, 116, 118, 123, 125, 130, 134, 136, 138, 142, 147, 150, 155, 168, 169, 170, 171, 172, 177, 178, 180, 182, 184, 186, 191, 192, 195, 201, 202, 204, 206, 208, 213, 214, 215, 224, 229, 232, 234, 235, 237, 241, 244, 245, 247, 248, 251, 257, 261, 265, 273, 277, 280, 281, 282, 286, 292, 293, 299]",202.5380907868847
