step,train_size,new_train_ids,test_rmse
0,10,"[144, 152, 265, 193, 74, 194, 98, 20, 41, 101]",311.7719620000963
1,20,"[234, 157, 127, 260, 176, 167, 110, 225, 249, 205]",290.5558743079506
2,30,"[126, 94, 46, 216, 84, 166, 44, 293, 148, 226]",258.7262154306749
3,40,"[244, 262, 188, 177, 298, 113, 178, 33, 181, 23]",241.82005936380133
4,50,"[88, 39, 202, 213, 134, 241, 59, 16, 296, 70]",244.76667246710275
5,60,"[266, 143, 270, 158, 192, 237, 10, 91, 180, 271]",243.18629920298318
6,70,"[240, 36, 11, 57, 197, 187, 208, 230, 0, 63]",242.9144194890676
7,80,"[81, 300, 100, 219, 121, 115, 109, 228, 175, 275]",245.8984837556401
8,90,"[122, 252, 85, 61, 62, 78, 153, 103, 294, 248]",232.53649220176447
9,100,"[231, 42, 12, 106, 172, 141, 17, 34, 217, 233]",224.4998240475042
10,110,"[55, 191, 229, 6, 255, 162, 60, 92, 119, 164]",219.95518626526624
11,120,"[200, 189, 295, 278, 25, 99, 116, 1, 18, 38]",229.16691670224367
12,130,"[15, 251, 207, 254, 199, 125, 65, 89, 77, 257]",223.44642182758335
13,140,"[22, 4, 161, 168, 9, 68, 282, 26, 211, 196]",221.8354330881538
14,150,"[140, 273, 267, 49, 52, 54, 227, 27, 93, 287]",222.59062309341948
15,160,"[259, 135, 204, 238, 21, 145, 120, 286, 292, 182]",216.7940231772254
16,170,"[118, 184, 30, 107, 256, 218, 82, 183, 114, 69]",207.5829337863088
17,180,"[209, 171, 28, 58, 51, 179, 66, 75, 272, 150]",211.95813397123877
18,190,"[37, 79, 130, 47, 289, 165, 245, 32, 290, 174]",204.06468742787803
19,200,"[242, 246, 155, 276, 87, 136, 133, 274, 147, 186]",201.8131428027181
20,301,"[2, 3, 5, 7, 8, 13, 14, 19, 24, 29, 31, 35, 40, 43, 45, 48, 50, 53, 56, 64, 67, 71, 72, 73, 76, 80, 83, 86, 90, 95, 96, 97, 102, 104, 105, 108, 111, 112, 117, 123, 124, 128, 129, 131, 132, 137, 138, 139, 142, 146, 149, 151, 154, 156, 159, 160, 163, 169, 170, 173, 185, 190, 195, 198, 201, 203, 206, 210, 212, 214, 215, 220, 221, 222, 223, 224, 232, 235, 236, 239, 243, 247, 250, 253, 258, 261, 263, 264, 268, 269, 277, 279, 280, 281, 283, 284, 285, 288, 291, 297, 299]",202.03697461469358
